题号,题干,A,B,C,D,E,答案,难度,题型,类别,备注
158,第一次提出“建设有中国特色的社会主义理论”概念是党的（    ）。,十二大,十三大,十四大,十五大,,B,无,单选题,政治理论,
159,国民党发动全面内战是从 1946 年进攻（	）解放区开始的。,冀鲁豫,陕甘宁,山东,中原,,D,无,单选题,政治理论,
160,红军长征途中召开的（    ），开始确立了毛泽东在党中央和红军的领导地位，挽救了党、挽救了红军、挽救了中国革命，成为党的历史上一个生死攸关的转折点。,古田会议,遵义会议,黎平会议,两河口会议,,B,无,单选题,政治理论,
161,井冈山革命烈士陵园于 1987 年始建，同年 10 月建成并开放参观游览。1997 年 10 月，由（ ）题字的“井冈山革命烈士纪念碑”落成剪彩。,邓小平,江泽民,李岚清,胡锦涛,,A,无,单选题,政治理论,
162,抗日战争时期，被中共中央誉为“敌后模范的抗日根据地及统一战线的模范区”的是（ ）。,晋察冀抗日根据地,晋西南抗日根据地,晋冀豫抗日根据地,山东抗日根据地,,A,无,单选题,政治理论,
163,毛泽东在（	）一文中提出了“没有调查，没有发言权”的著名论断。,《反对本本主义》,《实践论》,《矛盾论》,《论十大关系》,,A,无,单选题,政治理论,
164,明确规定以支部作为党的基本组织是（ ）作出的决定。,党的一大,党的二大,党的三大,党的四大,,D,无,单选题,政治理论,
165,区别新旧民主主义革命的根本标志是（	）。,中华人民共和国的成立,1911 年辛亥革命的胜利,无产阶级领导权问题,社会主义基本制度的确立,,C,无,单选题,政治理论,
166,上海的中国共产党早期组织创办的供工人阅读的刊物是（	）。,《劳动音》,《劳动界》,《工人月刊》,《劳动月刊》,,B,无,单选题,政治理论,
167,土地革命时期，以毛泽东为代表的中国共产党人创建了井冈山革命根据地，点燃了中国革命的星星之火，开辟了农村包围城市的中国革命道路，培育了伟大的（ ）。,井冈山精神,苏区精神,长征精神,红船精神,,A,无,单选题,政治理论,
168,土地革命战争时期，全国最大的革命根据地是（	）。,湘赣边革命根据地,中央革命根据地,陕甘边革命根据地,陕北革命根据地,,B,无,单选题,政治理论,
169,为了坚持、巩固和扩大抗日民族统一战线，中国共产党制定了（    ）的策略总方针。,“发展进步势力，争取中间势力，孤立顽固势力”,“发展进步势力，争取顽固势力，孤立中间势力”,“争取进步势力，发展中间势力，孤立顽固势力”,“争取进步势力，发展顽固势力，孤立中间势力”,,A,无,单选题,政治理论,
170,我国第一部社会主义类型的宪法通过并颁布实施是在（ ）年。,1949,1952,1954,1982,,C,无,单选题,政治理论,
171,新文化运动的中心和五四运动的策源地是（ ）。,复旦大学,北京大学,燕京大学,清华大学,,B,无,单选题,政治理论,
172,在我们党百年历史上，先后通过《关于若干历史问题的决议》《关于建国以来党的若干历史问题的决议》《中共中央关于党的百年奋斗重大成就和历史经验的决议》。这三个决议通过的时间分别是（ ）。,1949;1980;2022,1949;1981;2021,1945;1980;2022,1945;1981;2021,,D,无,单选题,政治理论,
173,在中共七大会议上，毛泽东作了（	）的政治报告。,《论统一战线》,《为人民服务》,《论解放区战场》,《论联合政府》,,D,无,单选题,政治理论,
174,中共一大的中心议题是（   	）。,正式建立中国共产党,讨论马克思主义传播,讨论与国民党合作,讨论党的纲领,,A,无,单选题,政治理论,
175,中国共产党第（	  ）次全国代表大会将毛泽东思想确定为党的指导思想并写入党章。,五,六,七,八,,C,无,单选题,政治理论,
176,中国共产党第一次全国代表大会产生的中央领导机构称为（	）。,中央局,中央委员会,中央执行委员会,中央政治局,,A,无,单选题,政治理论,
177,中国抗日战争的起点和中国人民局部抗战开始的标志是（	）。,九一八事变,华北事变,一二·九运动,七七事变,,A,无,单选题,政治理论,
178,中华人民共和国第一届全国人民代表大会召开时间是（	）。,1949 年 10 月 15 日,1950 年 9 月 15 日,1953 年 10 月 15 日,1954 年 9 月 15 日,,D,无,单选题,政治理论,
179,中华苏维埃共和国实行的制度是（	）,人民代表大会制度,工农兵代表大会制度,农民代表大会制度,工人代表大会制度,,B,无,单选题,政治理论,
180,人民解放军发动渡江战役，于 1949 年 4 月 23 日占领（   ），宣告延续 22 年的国民党反动统治的覆灭。,北平,南京,上海,广州,,B,无,单选题,政治理论,
181,（	  ）拉开了中国新民主主义革命的帷幕。,新文化运动,五四运动,中国共产党成立,五卅运动,,B,无,单选题,政治理论,
182,（	），中国共产党第一次全国代表大会在（	）开幕。,1921 年 7 月 1 日，南京,1921 年 7 月 21 日，上海,1921 年 7 月 23 日，上海,1921 年 7 月 30 日，南京,,C,无,单选题,政治理论,
183,出席中共一大的人员，平均年龄是（	）岁。,25 岁,28 岁,38 岁,40 岁,,B,无,单选题,政治理论,
184,1925 年 6 月 11 日，上海举行群众大会，到会20多万人，全国各地约有 1700 万人直接参加了运动。这场反对帝国主义的民族运动浪潮，史称（   	）。,香港海员罢工,京汉铁路工人罢工,五卅运动,北伐战争,,C,无,单选题,政治理论,
185,国共合作实现后，以（ ）为中心，很快开创了反对帝国主义和封建军阀的革命新局面。,天津,上海,杭州,广州,,D,无,单选题,政治理论,
186,中共四大时，全国党员人数是（  ）。,594 人,794 人,994 人,1594 人,,C,无,单选题,政治理论,
187,1927 年中共五大时，全国党员人数已超过（  ）。,1 万人,3 万人,5 万人,10 万人,,C,无,单选题,政治理论,
188,1927 年（  ），蒋介石在（  ）发动反革命政变。,4 月 2 日，南京,4 月 12 日，上海,4 月 12 日，南京,4 月 2 日，上海,,B,无,单选题,政治理论,
189,（ ）从进攻大城市转到向农村进军，这是中国人民革命发展史上具有决定意义的新起点。,武昌起义,南昌起义,秋收起义,广州起义,,C,无,单选题,政治理论,
190,毛泽东率领秋收起义部队转战时，决定选择在（  	）地区建立革命根据地。,瑞金,南昌,井冈山,大别山,,C,无,单选题,政治理论,
191,1929 年，（	）决议的中心思想是要用无产阶级思想进行军队和党的建设。,遵义会议,古田会议,八七会议,龙岩会议,,B,无,单选题,政治理论,
192,（	   ）以后，中日之间的民族矛盾逐渐上升为主要矛盾，中国国内的阶级关系发生重大变动。,卢沟桥事变,九一八事变,天津事变,西安事变,,B,无,单选题,政治理论,
193,"1934年     月10日,中共中央、中革军委率8.6万余人,踏上战略转移的征程,开始了长征。",昆仑山,大别山,狼牙山,夹金山,,D,无,单选题,政治理论,
195,根据用和平方式解决西安事变的方针，周恩来与张学良、杨虎城共同努力，经过谈判，迫使蒋介石作出（	）的承诺。,停止内战，实行抗战,停止内战，共同抗日,停止剿共，一致对外,停止剿共，联红抗日,,D,无,单选题,政治理论,
196,（	   ），日本由此开始了全面侵华战争，中国展开全国性抗战。,卢沟桥事变,九一八事变,天津事变,西安事变,,A,无,单选题,政治理论,
197,（    ）毛泽东总结经验，作了《论持久战》的长篇讲演。,1931 年,1935 年,1938   年,1945 年,,C,无,单选题,政治理论,
198,（    ）是全民族抗战爆发后中国军队主动对日作战取得的第一个重大胜利，打破了侵华日军所谓“不可战胜”的神话。,平型关大捷,台儿庄战役,武汉会战,长沙大捷,,A,无,单选题,政治理论,
199,抗日战争时期，毛泽东在《〈共产党人〉发刊词》中指出，中国共产党在中国革命中战胜敌人的三个法宝是  （	  ）。,实事求是，理论联系实际，批评与自我批评,群众路线，调查研究，团结一致,自力更生，艰苦奋斗，全心全意为人民服务,统一战线，武装斗争，党的建设,,D,无,单选题,政治理论,
200,1947 年 7 月至 9 月，（    ）在西柏坡主持召开全国土地会议，制定《中国土地法大纲》。,毛泽东,周恩来,刘少奇,董必武,,C,无,单选题,政治理论,
201,在抗日战争的战略相持阶段，（   	）成为主要的抗日作战方式。,敌后游击战争,国民党正面战场,共产党正面战场,敌后游击战争和国民党正面战场相结合,,A,无,单选题,政治理论,
202,毛泽东在（    ）上提出了“枪杆子里面出政权”的著名论断。,晋察冀,晋绥,晋冀豫,苏南,,A,无,单选题,政治理论,
204,（ ）4 月 23 日，中共七大在延安杨家岭开幕。,1941 年,1943 年,1945 年,1947 年,,C,无,单选题,政治理论,
205,中共（	）提出党的政治路线是：“放手发动群众，壮大人民力量，在我党的领导下，打败日本侵略者，解放全国人民，建立一个新民主主义的中国。”,不打无准备之仗,力求在运动中歼灭敌人,集中优势兵力打歼灭战,消灭敌人有生力量,,C,无,单选题,政治理论,
207,（    ）人民解放战争进入夺取全国胜利的决定性阶段。,1946 年春,1947 年夏,1948 年秋,1949 年春,,C,无,单选题,政治理论,
208,1949 年上半年，毛泽东提出了三条基本外交方针，不包括（	）。,“另起炉灶”,“一致对外”,“打扫干净屋子再请客”,“一边倒”,,B,无,单选题,政治理论,
